Ruth Powell	4-(482)899-1307
Nancy Martinez	1-(884)088-6207
Marie Barnes	2-(067)719-5283
Sharon Fernandez	5-(179)626-2809
Betty Collins	6-(643)822-3711
Kathy Morris	9-(729)292-8569
Cheryl Shaw	6-(382)395-8035
Virginia Stone	6-(075)201-8773
Jessica Rose	2-(111)825-4520
Martha Lewis	3-(598)986-9656
Ashley Ellis	7-(192)820-7319
Maria Harrison	7-(920)935-4504
Phyllis Holmes	5-(174)004-3936
Karen Duncan	9-(653)251-3687
Bonnie Moore	3-(158)339-6810
Beverly Diaz	7-(584)617-7262
Betty Cole	3-(795)712-5980
Angela Cole	5-(937)471-5798
Frances Hill	5-(010)303-4292
Anne Medina	8-(953)750-3203
Tina Wood	3-(499)828-0958
Laura Hawkins	5-(007)700-4764
Debra Stanley	9-(744)306-4244
Jean Myers	7-(505)061-3080
Melissa Cox	9-(537)915-7050
Judy Smith	4-(003)132-5899
Beverly Black	1-(481)399-1557
Katherine Sims	1-(935)471-9889
Jacqueline Fisher	2-(357)881-2433
Ruby Roberts	1-(344)992-0522
Rachel Mills	0-(603)430-6842
Jane Ellis	0-(058)388-7711
Jessica Welch	6-(109)486-4871
Heather Kim	5-(214)725-1545
Christine Watkins	2-(781)378-2792
Anna Flores	7-(570)151-8743
Janet Harper	7-(130)904-5714
Lisa Scott	3-(826)272-4138
Robin Shaw	3-(757)177-1247
Christine Weaver	9-(073)738-4283
Annie Mendoza	6-(189)431-4851
Carolyn Gilbert	6-(181)488-2827
Barbara Weaver	7-(052)514-5542
Andrea Kennedy	3-(117)824-1466
Louise Jordan	9-(108)254-1731
Amanda Carpenter	3-(867)924-4476
Cheryl Mccoy	3-(343)919-7563
Dorothy Thomas	7-(226)285-0523
Lillian Hunt	4-(226)756-7271
Rose Bennett	1-(174)173-1565
Dorothy Wallace	1-(857)684-5322
Sarah Schmidt	4-(074)602-6579
Mary Garrett	9-(716)769-4949
Janet Cole	0-(513)217-5831
