Harry Mason	3-(663)864-3578
Pamela Ramirez	0-(690)397-3060
Louis Clark	5-(753)266-3148
Christine Baker	4-(078)026-4574
Donna Carpenter	5-(319)364-9617
Dorothy Richardson	8-(378)337-8181
Doris Warren	2-(549)715-7331
Carol Mendoza	5-(006)624-0832
Mary Ford	0-(764)622-0354
Julia Richardson	5-(042)054-0250
Michelle Lynch	1-(884)987-4289
Jennifer Turner	0-(079)250-0170
Norma Rodriguez	0-(230)153-2076
Nancy Schmidt	6-(194)214-0814
Jose Williamson	6-(074)770-6740
Marie Hunt	7-(904)757-6161
Phyllis Stone	0-(234)376-5373
Maria Harrison	1-(532)179-4816
Ann King	7-(352)394-6739
Karen Morrison	9-(689)459-1250
Christina Stone	7-(001)055-4417
Janice Williamson	3-(806)890-2113
Wanda Greene	3-(546)530-8498
Martha Price	3-(925)477-2611
Carolyn Thompson	5-(212)357-4431
Diana Watkins	7-(244)817-1259
Kathryn Franklin	4-(767)982-7707
Kathy Lynch	3-(930)315-8260
Sandra Wagner	8-(739)878-3579
Elizabeth Peterson	0-(871)438-8795
Doris Little	0-(288)418-3831
Diane Hudson	9-(800)544-8013
Irene Ortiz	0-(779)623-1941
Doris Garcia	3-(631)524-3616
Philip Franklin	3-(304)129-5142
Alice Black	3-(965)743-2250
Sandra Washington	1-(992)411-5911
Judy Bailey	9-(911)638-3080
Deborah Patterson	9-(148)620-6422
Sarah Gray	5-(232)283-1919
Martha Russell	8-(683)193-6979
Keith Palmer	2-(330)476-1628
Pamela Wallace	4-(773)952-4854
Nicole Reyes	7-(834)822-5657
Lori Riley	6-(401)449-5460
Donna Kennedy	7-(896)696-1059
Susan Bailey	4-(840)242-3841
Wanda Lawrence	2-(438)429-1509
Carolyn Bennett	5-(270)145-8807
Carolyn James	3-(751)699-4388
Julie Henry	5-(029)136-7025
Marilyn Bradley	2-(079)381-3940
Helen Moreno	9-(185)223-7708
Maria Alvarez	7-(610)862-4934
Cheryl Sullivan	3-(468)283-9379
Kathryn Dunn	8-(260)102-8244
Ruby Roberts	2-(743)220-0422
Martha Gonzalez	5-(914)647-0790
Maria Porter	8-(800)467-6096
Alice Gilbert	8-(611)053-6382
Helen Holmes	4-(916)498-2120
Ashley Bryant	0-(206)044-9668
Jacqueline Jacobs	6-(928)321-8643
Deborah Lee	3-(976)356-8965
Linda Ramirez	6-(250)849-9822
Heather Jackson	1-(875)533-5199
Jean Flores	7-(922)763-6425
Louise Montgomery	6-(013)665-8370
Barbara Cunningham	7-(354)801-6680
Lillian Kim	5-(027)373-4212
Rebecca Bishop	4-(467)970-7387
Debra Simmons	9-(358)002-6037
Jacqueline Marshall	6-(948)439-6203
Sara Hanson	0-(628)954-0205
Heather Perry	8-(191)228-4716
Susan Ray	7-(970)064-5748
Katherine Nichols	5-(696)624-2383
Julie Cole	5-(392)796-0806
Jean Lewis	9-(579)760-9573
Kimberly Greene	6-(335)965-4896
Tina Mcdonald	3-(060)760-0499
Virginia Ferguson	4-(003)330-3266
Janice Marshall	4-(088)667-8161
Diane Berry	7-(193)390-6953
Robin Tucker	7-(708)277-4626
Jessica Porter	3-(662)135-8649
Cheryl Thomas	0-(112)309-2950
Pamela Frazier	6-(230)642-6684
Phyllis Coleman	8-(587)575-6066
Betty Wagner	5-(688)456-5068
Annie Gomez	4-(416)714-7444
Carol Dixon	6-(108)906-1428
Ann Nguyen	7-(916)702-3028
Robin Rogers	3-(827)034-8921
Lillian Perry	7-(133)284-4271
Christina Grant	4-(425)455-0787
Sharon Carpenter	0-(502)189-0496
Tammy Cunningham	8-(700)580-4239
Catherine Montgomery	3-(807)071-6854
Janice Fuller	2-(929)681-4829
Lisa Ferguson	2-(880)577-1805
Judith Matthews	9-(285)483-8242
Christina Stone	8-(498)700-5375
Lillian Campbell	1-(489)603-1175
Michelle Foster	4-(296)897-0515
Mildred Bowman	6-(471)501-3073
Sharon Rose	3-(219)285-9956
Mary Carroll	2-(923)804-5380
Kimberly Chapman	6-(675)522-0273
Gloria Baker	1-(152)787-4697
Cheryl Long	6-(845)744-0180
Norma Cruz	7-(036)282-3615
Emily Howard	7-(700)830-7012
Shirley Walker	1-(341)282-9730
Heather Vasquez	5-(844)402-5620
Maria Roberts	1-(532)355-8181
Rose Campbell	3-(527)827-7051
Martha Reed	9-(058)931-7366
Elizabeth Bennett	6-(576)340-1896
Lisa Weaver	5-(352)820-2710
Anne George	3-(847)386-4502
Sarah Edwards	8-(994)896-8915
Deborah Watson	7-(633)476-3761
Laura Frazier	5-(951)805-9717
Robin Watson	3-(143)297-4665
Janet Alexander	0-(274)579-2927
Laura Knight	2-(222)803-9876
Kelly Hart	1-(009)081-3680
Linda Reyes	6-(733)458-7753
Virginia Wallace	7-(482)867-2355
Norma Mccoy	6-(619)891-9196
Evelyn Hughes	8-(687)940-3896
