Melissa Little	0-(612)497-4308
Evelyn Hunt	0-(497)039-5335
Sara Thompson	2-(023)211-0533
Lois Hill	4-(710)481-3969
Frances Stone	2-(339)565-5336
Rebecca Edwards	1-(045)229-9953
Deborah Martin	5-(953)724-4983
Sarah Parker	1-(470)619-8590
Laura Lewis	6-(244)236-1687
Lori Perry	1-(392)995-3767
Donna Arnold	9-(818)449-7938
Cynthia Schmidt	4-(739)786-2402
Ruth Rivera	9-(442)881-1044
Joan Payne	4-(694)105-8532
Kathy Morris	8-(811)684-3042
Katherine Barnes	5-(733)416-3776
Robin Hamilton	4-(921)749-9279
Kathy Russell	1-(228)049-8507
Amy Kim	8-(234)091-2528
Angela Lawrence	6-(661)585-3201
Amy Fox	7-(284)115-0128
Andrea Boyd	1-(251)893-5309
Tammy Kennedy	3-(933)889-2299
Kathryn Miller	9-(839)527-3570
Nicole Bryant	2-(603)519-1602
Ashley Day	5-(302)290-7324
Judy Scott	3-(841)941-5592
Carolyn Grant	1-(535)331-0598
Sandra Wells	4-(189)017-0369
Debra Hansen	9-(281)167-1961
Kimberly Young	8-(514)282-0996
Margaret Martinez	6-(045)023-8776
Brenda Matthews	9-(125)522-3888
Heather Murray	7-(118)098-3249
Rebecca Morales	0-(495)440-4010
Anna Cooper	6-(555)947-4639
Heather Frazier	3-(822)561-3560
Marie Coleman	0-(904)750-1638
Kathleen Hill	9-(967)306-1236
Debra Johnson	7-(055)112-0366
Beverly Ramos	0-(587)891-1207
Heather Torres	6-(496)263-2965
Sarah Hawkins	0-(483)289-2786
Julia Stewart	1-(609)187-9033
Katherine Howell	8-(470)958-8337
Kimberly Foster	0-(828)969-6911
Rachel Brooks	6-(291)189-8532
Jessica Gardner	3-(887)200-4883
Norma Collins	9-(589)702-6748
Debra Hill	0-(168)061-2100
Tammy Morris	2-(836)313-3411
Jacqueline Young	9-(198)013-2251
Julie Williamson	1-(889)371-4023
Maria Montgomery	1-(401)985-4691
Virginia Rivera	2-(689)192-5007
Sharon Franklin	6-(268)326-5493
Norma Wood	7-(880)161-9475
Donna Fowler	5-(730)305-3881
Carol Wilson	6-(819)071-7634
Bonnie Holmes	8-(733)722-6627
Cheryl Mccoy	4-(207)863-3434
Sharon Clark	5-(953)502-9387
Julie Mitchell	6-(608)461-8027
Jennifer Bowman	0-(109)760-7645
Laura Vasquez	8-(410)142-9234
Diane Robinson	6-(006)884-0514
Michelle Carr	7-(279)153-3802
Susan Porter	5-(730)195-3551
Lillian Hansen	1-(307)234-3952
Martha Hunt	4-(390)966-4899
Wanda Morgan	6-(927)233-7787
Anne Richardson	2-(332)832-6972
Tina Weaver	5-(607)281-6218
Julia Griffin	3-(833)529-5417
Judy Gonzalez	0-(501)902-8462
Ruth Lewis	1-(091)203-9626
Joan Burns	0-(480)474-3462
Kelly Richardson	8-(281)767-5116
Martha Jenkins	3-(703)117-3448
Kelly Carroll	0-(610)433-0900
Betty Gray	1-(769)872-4029
Kathy Carter	9-(665)297-0955
Debra Lawson	9-(807)826-9525
Judy Holmes	1-(661)671-5233
Phyllis Rivera	7-(695)603-0104
Maria Wells	7-(115)314-7180
Sarah Reyes	5-(042)705-9645
Rose Lane	9-(491)327-5577
Angela Payne	4-(279)139-1303
Emily Davis	5-(191)213-2944
Rachel James	0-(895)537-6117
Cynthia Elliott	1-(263)973-2886
Sandra Burns	9-(485)675-8756
Evelyn Freeman	3-(790)646-1178
Kathryn Cox	3-(110)434-7528
Lillian Rogers	8-(041)503-3651
Lillian Robinson	8-(767)571-3904
Alice Robertson	6-(639)290-6947
Phyllis Ross	3-(654)688-1405
Julia Harris	1-(891)663-2909
Judy Sanchez	9-(379)230-9271
Carol Turner	1-(294)553-5500
Sharon Burke	5-(010)080-6795
Julia Ortiz	1-(321)506-3271
Lisa Griffin	0-(196)852-3748
Stephanie Hunt	3-(890)616-9083
Norma Miller	4-(993)520-0815
Anne Collins	0-(320)183-6791
Ashley Wells	5-(677)879-8324
