Karen Peters	0-(138)071-3364
Catherine Anderson	6-(166)591-3221
Louise Rose	3-(913)401-0521
Rebecca Weaver	1-(591)863-6587
Marilyn Fox	4-(659)304-3962
Judith Day	8-(979)234-5661
Tammy Powell	2-(638)827-0442
Bonnie Lawrence	9-(580)752-0374
Susan Robinson	0-(796)070-6341
Rose Evans	0-(431)512-9828
Kimberly Martin	0-(110)651-7159
Tina King	7-(811)025-9942
Donna Morales	5-(093)163-6349
Amy Howell	3-(710)358-2356
Lillian Freeman	6-(423)368-9886
Lori Porter	7-(267)658-8767
Laura Wheeler	0-(159)571-7381
Kathryn Bell	9-(522)912-0138
Bonnie Freeman	8-(911)773-1787
Jane Hayes	1-(983)626-0922
Dorothy Johnston	4-(801)459-1475
Judy Fisher	3-(669)915-0674
Dorothy Sullivan	5-(184)024-4657
Debra Rivera	7-(554)018-2536
Nancy Olson	2-(770)209-4526
Catherine George	4-(966)572-6078
Sharon Hicks	8-(100)093-6995
Nancy Graham	7-(305)653-2698
Doris Thompson	8-(724)444-8835
Lisa Brown	7-(348)373-1948
Shirley Rice	2-(568)155-2159
Rachel Olson	4-(641)365-0103
Brenda Price	1-(057)748-1061
Heather Armstrong	7-(301)884-8374
Jessica Andrews	2-(186)269-0257
Louise Stanley	8-(472)043-3439
Rachel Lynch	1-(078)612-0082
Phyllis Wells	0-(898)142-4159
Evelyn Simpson	7-(914)019-7748
Ruth Fernandez	6-(894)885-0590
Laura Murray	0-(852)976-8121
Rebecca Reyes	2-(271)585-7895
Pamela Bishop	5-(937)299-4647
Christine Andrews	6-(806)229-0398
Amy Cox	5-(718)416-8868
Nancy Cunningham	8-(575)718-5064
Teresa Washington	2-(750)525-5459
Kimberly Perez	5-(183)196-6557
Patricia Ward	4-(257)476-8732
Lori Harvey	1-(380)556-8173
Ann Baker	9-(655)007-0134
Beverly Owens	1-(010)914-6133
Ann Peters	6-(386)348-6594
Paula Nelson	6-(005)619-5302
Kathleen Black	5-(094)740-7394
Irene Moore	4-(012)573-1313
Judy Russell	9-(425)408-5953
Judy Woods	9-(059)513-1469
Gloria Olson	1-(470)034-4206
Dorothy Watson	0-(476)675-1065
Virginia Porter	4-(678)364-6521
Mary Ford	3-(988)176-6321
Sarah Washington	2-(579)646-8422
Linda Garza	5-(679)779-2922
Maria Campbell	1-(823)509-6434
Marilyn Meyer	6-(485)597-5341
Christina Mills	4-(795)300-3492
Amy Stanley	9-(922)007-8879
Emily Oliver	4-(379)886-5672
Nancy Simpson	5-(290)406-9402
Deborah Morgan	1-(291)503-5351
Rachel Hernandez	8-(859)996-4446
Tina Cunningham	0-(470)008-7933
Carol Vasquez	5-(022)762-3275
Donna Alexander	3-(716)192-8621
Angela Smith	9-(401)408-1659
Susan Brooks	1-(553)441-6702
Joan Walker	9-(255)427-8883
Kelly Fuller	3-(465)189-7750
Ashley Woods	8-(186)688-2538
Amanda Rogers	3-(585)735-3391
Elizabeth Sims	4-(831)206-8285
Jean Green	4-(287)559-6054
Denise Patterson	9-(475)989-6316
Maria Campbell	7-(119)219-9135
Tammy Palmer	2-(667)701-5250
Martha Marshall	9-(204)145-2194
Carol Howell	5-(669)524-4969
Amy Larson	4-(439)665-1297
Mary George	0-(065)348-7114
Judith Kelly	8-(862)182-1019
Kimberly Harper	4-(340)189-7085
Angela Rice	3-(401)598-0619
Theresa Webb	8-(288)898-0990
Norma Bradley	7-(603)358-8248
Pamela Miller	4-(444)277-3123
Cynthia Robertson	5-(608)693-0082
Jessica Sullivan	7-(636)472-5035
Stephanie Gomez	1-(630)894-9835
Alice Ellis	3-(022)444-3635
Carol Meyer	7-(760)239-6924
Barbara Oliver	6-(119)346-0752
Laura Palmer	9-(592)710-5093
Diane Garcia	4-(276)088-0860
Catherine Stevens	7-(943)563-8530
Marilyn Andrews	2-(873)215-4828
Marie Garza	5-(900)224-7371
Kathleen Henry	2-(279)608-0038
Deborah Hughes	7-(884)188-4185
Deborah Shaw	2-(650)803-1279
Kelly Carroll	0-(283)509-5689
Maria Lynch	7-(060)310-6179
Christina Morrison	4-(668)732-4621
Michelle Grant	3-(837)813-1590
Ruth Weaver	1-(015)688-6834
Cynthia Berry	3-(325)631-8738
Nicole Burke	0-(295)502-6510
Cheryl Carr	8-(830)996-7558
Norma Ryan	7-(298)305-3163
Judy Rose	0-(890)152-9420
Jane Martin	2-(681)534-1271
Debra White	2-(023)693-7569
Kathryn Knight	9-(807)857-3327
Anne Castillo	7-(058)451-9560
Paula Rivera	5-(959)390-7476
Ruth Martinez	7-(482)867-7733
Gloria Torres	0-(721)022-6196
Judith Gordon	3-(667)753-8779
Alice Barnes	9-(795)823-9367
Karen White	0-(994)384-1400
Melissa Weaver	9-(370)292-2862
Marie Edwards	8-(749)001-6661
Gloria Bradley	1-(256)699-4334
Denise Little	0-(034)401-0112
Jacqueline Jones	4-(058)051-1448
Betty Martin	7-(167)732-2773
Judith Hughes	3-(846)679-3415
Anne Vasquez	1-(809)459-3262
Maria Kelly	1-(375)008-5872
Nancy Cox	8-(542)523-9933
Barbara Ruiz	1-(366)292-9579
Mildred Hall	8-(946)520-7525
Debra Thomas	8-(420)943-6063
Theresa Davis	8-(117)004-1584
Cheryl Jordan	8-(316)161-5712
Janice Hughes	0-(859)490-1027
Lois Bailey	3-(943)868-9303
Amanda Larson	6-(619)628-0813
Deborah Alexander	8-(594)389-2355
Jacqueline Peterson	1-(484)678-0461
Ashley Hicks	7-(519)374-2534
Betty Larson	0-(663)354-4944
Jane Hughes	7-(199)456-2329
Mildred Hill	3-(574)979-8180
Ashley Peters	1-(397)621-9567
Jennifer King	0-(008)906-0814
