Doris Washington	7-(502)158-6725
Angela Lynch	5-(299)897-2363
Beverly Bell	5-(892)543-1489
Ashley James	3-(891)518-8001
Julia Johnston	7-(227)878-6058
Brenda Harper	6-(754)207-0661
Helen Daniels	2-(956)498-0781
Christina Fernandez	1-(752)534-0084
Ruth George	2-(347)300-4005
Judy Simpson	0-(120)386-7114
Betty Parker	1-(139)333-6370
Kathy Johnson	5-(872)713-9920
Barbara Dunn	5-(501)250-1359
Alice Howell	1-(697)862-9566
Debra Reyes	4-(730)640-7729
Julie Jenkins	5-(017)268-5282
Kathy Oliver	3-(907)009-2361
Doris Garrett	1-(441)177-7125
Kathleen Duncan	5-(685)012-1273
Julie Lawson	0-(275)208-0436
Kimberly Hernandez	5-(997)314-2017
Teresa King	4-(541)449-8976
Judith Romero	0-(778)322-6854
Alice Stewart	3-(182)878-4682
Gloria Moore	4-(431)483-5973
Heather Elliott	3-(082)353-3225
Dorothy Rodriguez	4-(095)658-5464
Jacqueline Carpenter	7-(078)174-4959
Shirley Thomas	7-(831)749-5457
Dorothy Howell	1-(300)762-3685
Nancy Parker	2-(439)975-4672
Marilyn Daniels	4-(241)161-5714
Mary Wilson	1-(903)499-8334
Dorothy Schmidt	7-(051)338-2990
Mildred Woods	6-(129)403-3621
Karen Vasquez	2-(562)637-8555
Anne Watson	1-(955)115-7980
Kathryn Stone	1-(026)127-9611
Tina Oliver	7-(144)666-0528
Martha Harrison	7-(015)879-8446
Wanda Lee	8-(772)070-0014
Amy Nelson	8-(918)707-3664
Jane Hernandez	8-(572)172-6485
Nancy Reid	6-(944)934-5697
Lois Rogers	8-(663)079-7774
Nancy Washington	5-(715)692-5777
Sandra Hart	7-(901)614-7297
Nicole Fowler	6-(924)457-2614
Anne Martin	2-(291)821-4631
Ann Frazier	3-(796)168-4657
Irene Gomez	3-(613)402-1829
Louise Marshall	9-(061)901-3126
Judith Long	2-(026)814-5282
Deborah Boyd	7-(856)893-6024
Anne Berry	4-(816)802-9725
Nancy Campbell	6-(121)203-0360
Pamela Scott	1-(393)930-4926
Michelle Nichols	9-(976)514-4015
Tina Dixon	5-(404)300-5733
Lois Harvey	4-(031)526-4446
Stephanie Reyes	2-(650)257-0801
Jane Price	5-(442)213-7617
Karen Morris	1-(684)783-7486
Elizabeth Coleman	8-(959)782-2492
Katherine Stone	7-(656)997-3176
Carol Fields	8-(622)175-3748
Teresa Garcia	3-(299)013-5321
Margaret Martin	3-(225)990-7394
Shirley Little	8-(034)770-1902
Margaret Rice	8-(847)408-9540
Joan Perry	6-(150)525-9386
Judy Wood	9-(082)242-5221
Jessica Adams	7-(690)947-2475
Cynthia Harris	3-(284)588-9300
Tammy Johnston	1-(438)601-7544
Brenda Garrett	0-(051)316-1261
Ruth Wagner	0-(947)682-5451
Tammy Daniels	3-(033)875-4864
Sandra Crawford	0-(189)440-9578
Janet Hicks	5-(693)760-2097
Carol Gilbert	4-(186)508-2249
Katherine Young	7-(461)272-8054
Maria Morales	9-(947)025-0443
Carolyn Morris	2-(058)433-3061
Jacqueline Hernandez	0-(442)332-6815
Jane Daniels	3-(234)418-6400
Lillian Jones	0-(816)918-5875
Amanda Little	3-(467)220-9654
Norma Thompson	7-(973)056-0972
Virginia Sanchez	8-(845)299-5170
Catherine King	6-(168)048-7407
Marie Andrews	2-(996)213-9886
Virginia Porter	6-(048)242-6979
Marie Evans	6-(351)143-7503
Anne George	9-(574)104-0218
Denise Porter	5-(319)743-1790
Jennifer Arnold	9-(709)847-8366
Angela Rivera	4-(238)383-7467
Marie Morris	7-(670)377-2913
Alice Walker	4-(837)552-6196
Susan Wheeler	0-(498)703-9631
Stephanie Wells	6-(567)345-6728
Anne Watson	3-(813)149-1763
Linda Cruz	3-(880)649-3734
Andrea Ferguson	0-(912)223-9983
Diana Fernandez	5-(899)734-1213
Sharon Matthews	0-(507)607-2750
Judy Vasquez	1-(520)505-7304
Denise Carpenter	0-(756)121-8347
Lisa Evans	1-(930)345-1278
Nancy Peters	5-(140)995-1548
Sarah Harrison	6-(904)836-6798
Kathy Gray	4-(681)584-5939
Martha Young	2-(230)847-6336
Sandra Lopez	9-(535)734-8596
Anna Smith	9-(446)441-4233
Amy Medina	3-(721)154-7110
Rebecca Armstrong	2-(366)480-8770
Jessica Carr	8-(987)705-4235
Janet Reyes	4-(275)032-4544
Judith Austin	6-(829)221-1011
Jean Andrews	3-(950)567-2418
Tammy Wells	3-(402)009-6882
Marie Taylor	3-(256)455-4463
Susan Medina	2-(447)228-6185
Patricia Hart	8-(254)594-5178
Irene Watkins	3-(893)940-2789
Katherine White	5-(807)946-0289
Ashley West	1-(084)435-6925
Janice Bowman	7-(732)867-8663
Gloria Howell	8-(679)038-4718
Anna Harper	7-(084)679-0913
Joyce Moore	5-(886)656-0493
Julie Jackson	1-(349)987-1789
Jessica Harper	5-(134)718-4247
Helen Murphy	7-(656)614-3436
Louise Cunningham	8-(076)945-2627
Jean Bennett	2-(209)359-7900
Michelle Kennedy	7-(300)342-0441
Margaret Edwards	6-(121)922-9079
Paula West	8-(810)851-1053
Annie Rogers	1-(249)295-1155
Patricia Jenkins	5-(865)955-2640
Jean Scott	7-(711)025-4290
Joyce Morris	6-(276)903-8697
Robin Ellis	8-(470)197-4105
Sandra Green	0-(017)128-1882
Karen Austin	9-(296)704-3749
Julie Coleman	5-(262)186-5449
Janice Hunter	7-(828)075-8576
Kelly Wood	8-(571)210-0424
Julie Riley	7-(881)611-3898
Margaret Garcia	9-(072)652-1653
Martha Peterson	1-(514)241-2373
Kathy Dean	1-(165)217-8867
Michelle Larson	8-(694)336-5675
Heather Griffin	4-(421)808-9444
Kathryn Fox	1-(922)612-8991
Nicole Ray	3-(115)985-6236
Robin Carpenter	5-(726)366-1870
Louise Cooper	2-(538)603-0461
Wanda Weaver	7-(291)367-1218
Annie Richards	9-(921)126-5536
Christina Murphy	3-(379)170-9052
Margaret Carpenter	4-(174)146-6187
Sara Ellis	5-(585)858-4759
Ashley King	6-(174)167-2887
Norma Burton	2-(142)053-7315
Amanda Gibson	1-(131)699-3352
Margaret Garcia	1-(661)360-5513
Evelyn Diaz	5-(539)919-8146
Donna Gutierrez	6-(045)765-2375
Anne Clark	3-(646)238-9815
Martha Mason	3-(650)625-5610
Teresa Richardson	6-(606)256-8203
Debra Medina	2-(369)659-9859
Marilyn Holmes	6-(385)857-6119
Patricia Hudson	2-(390)556-0214
Michelle Kennedy	9-(852)624-8431
Angela Powell	3-(232)940-9825
Janet Wheeler	7-(608)208-8191
Diana Schmidt	5-(142)637-0400
Janet Arnold	1-(618)380-2357
Amy Matthews	8-(266)703-8106
Jennifer Alvarez	6-(118)265-1000
Joan Welch	1-(651)721-2893
Martha Butler	4-(562)356-3452
Deborah Hicks	2-(054)498-5871
Louise Harper	5-(160)768-1374
Deborah Palmer	6-(717)411-6801
Ruby Warren	0-(853)289-7464
Susan Palmer	1-(422)833-0631
Laura Peters	9-(708)433-0800
Joyce James	4-(847)761-8384
Jessica Lopez	4-(353)562-2422
Lois Ramirez	6-(801)613-6343
Jennifer Lane	5-(551)262-9827
Anne Alexander	3-(573)660-8502
Jean Wright	8-(413)429-4447
Kelly Williams	5-(734)883-6932
Kathryn Bowman	8-(377)043-2847
Dorothy Kelly	4-(331)362-3237
Jacqueline Howell	2-(280)447-4343
Judy Stewart	7-(817)043-8290
Linda Daniels	6-(507)742-3947
Lois Wood	2-(513)708-8304
Wanda Hicks	2-(898)552-8629
Cynthia Holmes	9-(083)354-5571
Annie Turner	8-(915)702-7373
Robin Watkins	2-(378)715-5377
Amy Vasquez	3-(062)730-0581
Diana Rose	6-(490)781-5262
Judith Sanchez	9-(026)514-1638
Diana Ford	9-(766)285-4861
Lisa Bishop	7-(843)380-4134
Tammy Freeman	9-(248)829-7721
Ashley Ruiz	5-(002)951-7874
Jessica Chapman	4-(644)365-5450
Louise Sullivan	1-(149)773-2727
Janice Martin	2-(980)842-5312
Susan Williams	2-(180)635-3182
Alice Medina	7-(877)147-2490
Lisa Green	9-(709)537-2779
Nicole Ramos	7-(681)055-8743
Judy Jones	8-(886)852-8696
Rachel Evans	3-(936)524-2266
Kathy Wilson	5-(031)904-1487
Joan Mcdonald	3-(053)167-9000
Teresa Torres	8-(628)570-9988
Gloria Bradley	3-(861)466-5239
Emily Bradley	9-(174)103-2596
Michelle Richards	5-(926)034-2168
Rachel Anderson	0-(932)053-6412
Jean Watson	3-(162)738-3726
Gloria Lawrence	0-(504)505-6890
Donna Griffin	0-(421)793-9917
Brenda George	9-(920)106-8534
Jessica Jackson	0-(440)687-7149
Beverly Reid	1-(027)977-2520
Lillian Johnston	1-(500)541-9826
Virginia Cole	4-(918)832-1806
Karen Harper	8-(910)827-4954
Bonnie Day	4-(106)748-0640
Jean Garrett	7-(547)232-1338
Virginia Garza	4-(460)608-7976
Amanda Ford	4-(970)826-7274
Elizabeth Knight	4-(792)821-9541
Rebecca Carr	8-(606)824-9560
Diana Mason	2-(537)839-2797
Nicole Montgomery	9-(331)760-4282
Rebecca King	7-(941)672-7518
Donna Patterson	6-(522)547-6475
Deborah Rice	1-(645)893-5166
Judith Hamilton	7-(512)838-9399
Rose Morales	1-(454)516-4367
Stephanie Shaw	0-(960)741-4623
Gloria Garrett	8-(230)565-5334
Carol Fowler	6-(109)574-5117
Joyce Hill	8-(602)126-2552
Catherine Parker	4-(330)356-9919
Amy Lynch	2-(214)186-4567
Anne Hansen	2-(935)910-3642
Julie Rodriguez	9-(241)773-5426
Teresa Myers	3-(679)873-8414
Virginia Peters	8-(067)895-5827
Elizabeth West	4-(630)930-3680
Angela Crawford	1-(072)170-9697
Katherine Hicks	8-(259)829-0869
Mary Pierce	5-(331)027-5979
Wanda Cruz	5-(766)525-3416
Lori Morris	5-(460)228-2797
Brenda Olson	3-(257)257-8742
Phyllis Gomez	1-(866)326-2192
Kathryn Anderson	3-(435)647-1666
Beverly Young	5-(138)483-5980
Deborah Wheeler	0-(600)225-0630
Sharon Webb	9-(530)043-0104
Mary Weaver	7-(086)128-5167
Mildred Stephens	4-(216)763-9187
Christine Rice	1-(116)205-3451
Diane Carr	2-(370)218-8696
Donna Fuller	0-(917)672-6395
Amy Hunt	5-(042)831-6793
Lillian Greene	9-(147)531-0873
Lori Hernandez	7-(150)948-1702
Marie Armstrong	5-(024)766-1791
Annie Woods	3-(754)160-5048
Teresa Perry	4-(579)804-8812
Tammy Graham	6-(697)246-9985
Cynthia Little	8-(153)118-8470
Gloria Ellis	1-(536)769-7320
Paula Martinez	4-(737)923-0787
Gloria Bennett	2-(275)800-4088
Mildred Stanley	7-(431)589-8286
Maria Kim	2-(999)019-3298
Brenda Burns	4-(469)200-6022
Angela Gonzales	9-(504)600-7462
Marie Ramos	5-(199)753-3717
Frances Wells	7-(626)503-2445
Louise Dean	9-(028)579-3713
Katherine Hudson	8-(236)717-1861
Wanda Bryant	9-(743)299-5589
Diane Russell	0-(587)529-6287
Denise Spencer	6-(965)742-9092
Denise Lawson	2-(527)779-7762
Joyce Bailey	4-(781)596-7111
Mildred Green	6-(968)157-8501
Anne Moreno	5-(211)937-8033
Debra Ortiz	5-(958)204-0880
Susan Wallace	1-(898)357-7093
Irene Cox	4-(907)181-2777
Jennifer Edwards	1-(400)034-0442
Ruby Mills	8-(742)010-5835
Barbara Larson	6-(966)774-6832
Betty Lewis	7-(688)817-4186
Kathryn Henry	9-(570)621-5193
Cynthia Carroll	4-(200)414-7147
Gloria Hansen	6-(749)750-1482
Judy Fisher	1-(697)187-9850
Katherine Ford	1-(072)658-2383
Joyce Lee	5-(432)468-5475
Sharon Peterson	4-(395)932-6023
Anna Hamilton	0-(145)171-1651
Rose Carter	7-(044)364-6880
Pamela Jacobs	2-(144)898-0232
Theresa Holmes	4-(566)775-4346
Elizabeth Gibson	3-(937)652-4003
Laura Lane	6-(165)401-9834
Amy Willis	8-(526)716-3244
Nicole Stevens	2-(963)144-8533
Laura Ortiz	9-(260)659-2949
Evelyn Campbell	3-(165)528-7618
Anna Clark	0-(001)499-6088
Katherine Vasquez	1-(903)220-6517
Ann Mills	3-(102)155-0404
Ashley Ellis	9-(206)523-9281
Joan Austin	6-(604)925-8145
Jean Pierce	0-(023)573-0363
Joan Rodriguez	9-(486)185-1141
Laura Peters	4-(452)775-9907
Dorothy Meyer	0-(201)331-2014
Amanda Ruiz	9-(430)348-3810
Laura Richardson	4-(987)568-6823
Ruby Griffin	5-(981)608-3878
Carol Willis	6-(337)685-5272
Sandra Stone	8-(360)835-1013
Rose Cox	4-(344)932-0538
Tammy Morales	7-(910)021-0405
Anne Porter	8-(628)316-9382
Judy Torres	2-(396)542-0731
Robin Bradley	7-(504)563-7166
Sharon Perkins	2-(923)913-3882
Andrea Ruiz	7-(917)810-4350
Betty Berry	7-(208)867-2061
Diana Owens	5-(492)651-0846
Joan James	3-(158)578-8543
Gloria Adams	3-(558)213-2931
Ann Baker	2-(683)174-8387
Betty Fowler	8-(203)906-0134
Phyllis Hernandez	5-(533)367-2457
Sarah Reynolds	5-(755)242-9503
Jessica Ramirez	3-(679)196-4600
Judy Lopez	1-(870)660-1403
Phyllis Sullivan	3-(290)557-2542
Barbara Grant	6-(578)895-6877
Stephanie Robinson	4-(032)676-2401
Deborah Hawkins	3-(718)549-7590
Deborah Kennedy	2-(889)740-2234
Annie Warren	8-(099)349-2237
Jacqueline Long	8-(026)854-0437
Kathryn Fowler	2-(829)093-4067
Frances Meyer	8-(854)627-3878
Maria Morris	5-(864)897-6707
Jacqueline Foster	5-(706)214-4881
Jane Bryant	1-(462)244-2123
Nancy Fernandez	6-(160)417-6885
Rose Young	9-(931)650-9112
Barbara Hanson	0-(240)727-2022
Phyllis Mason	0-(654)966-7579
Maria Graham	6-(818)645-4381
Maria Hayes	5-(838)061-7770
Lillian Patterson	1-(262)028-1008
Marilyn Burns	8-(332)856-0749
Kathy Jordan	4-(706)765-7924
Cheryl Hart	6-(624)612-1616
Robin Ford	1-(076)307-3107
Julie Hughes	6-(820)972-4847
Evelyn Matthews	0-(699)877-0442
Jane Roberts	5-(486)308-4093
Robin Coleman	7-(204)068-7663
Irene Wilson	5-(434)143-1961
Ann Stevens	8-(604)905-5803
Julie Harrison	0-(070)269-4597
Ashley Perkins	3-(163)855-9132
Cheryl Jacobs	7-(381)432-9546
Anna Parker	0-(648)256-2892
Linda Medina	2-(039)094-7688
Robin Simmons	3-(845)237-0689
Ashley Larson	9-(378)471-4525
Dorothy Anderson	7-(819)041-6151
Lillian Harrison	2-(416)113-0896
Kathryn Thompson	1-(049)608-4382
Rachel Rodriguez	4-(963)791-7038
Sarah Burton	7-(611)993-2606
Sarah Berry	6-(805)521-0593
Melissa Hall	0-(900)255-1176
Jacqueline Harrison	9-(663)821-7417
Rebecca Parker	0-(774)076-3638
Brenda Lee	4-(038)701-1384
Stephanie Cook	4-(383)834-3085
Sandra Stone	8-(119)724-2168
Debra Stanley	8-(903)940-3339
Mary Stanley	1-(279)697-1050
Sandra Dean	2-(965)828-7217
Susan Jackson	8-(361)307-3309
Cynthia Garza	4-(495)124-7861
Anne Smith	5-(338)681-0049
Doris Lawrence	3-(330)373-9359
Mary Ellis	5-(017)076-4136
Susan Meyer	4-(588)483-2318
Janice Johnston	5-(301)419-8374
Kelly Hansen	6-(123)429-5009
Lisa Gonzalez	1-(392)773-6090
Kathy Harrison	7-(111)811-9800
Amy Miller	0-(464)447-9339
Marie Howell	2-(373)110-6730
Christina Knight	3-(206)228-8946
Cheryl Henry	1-(941)273-9781
Katherine Ward	3-(811)889-1728
Kathryn Willis	6-(406)897-9343
Sarah Stewart	7-(445)771-0588
Teresa Hart	5-(034)582-6707
Katherine Stone	8-(429)130-6911
Emily Arnold	1-(829)099-2041
Frances Diaz	4-(409)848-2918
Robin Rogers	5-(298)601-9928
Pamela Tucker	9-(145)618-1023
Linda Foster	7-(953)757-2677
Cheryl Dean	2-(325)612-7002
Elizabeth Hawkins	5-(666)387-1400
Lisa Snyder	1-(698)970-3962
Diane Harrison	4-(936)421-1873
Pamela Carpenter	5-(679)283-9954
Mildred Brooks	7-(322)038-6465
Emily Hill	0-(206)835-9914
Ruby Gardner	8-(819)412-9553
Mildred Mitchell	0-(496)297-9636
Judy Hart	6-(725)659-3197
Anne Nelson	6-(964)853-6602
