Jane Hayes	2-(643)886-5222
Jean Sullivan	5-(388)342-7231
Judith Hansen	4-(078)718-7210
Mildred Mitchell	4-(099)392-3616
Kathy Alvarez	2-(758)210-9049
Melissa Wallace	7-(702)080-4373
Cheryl Armstrong	6-(099)456-7309
Diana Gutierrez	4-(701)572-3788
Kimberly Lee	6-(395)745-0378
Bonnie Gilbert	9-(513)442-6110
Doris Cook	4-(429)198-3601
Lisa Austin	7-(963)800-4347
Ashley Sanders	3-(349)504-6140
Anna Myers	9-(234)694-7919
Melissa Robertson	6-(887)574-1313
Joan Matthews	2-(803)904-5038
Heather Hansen	7-(616)385-1041
Emily Myers	9-(687)767-0944
Anna Lopez	3-(621)218-1120
Patricia Peters	8-(650)451-0496
Kathy Mendoza	4-(831)519-5538
Christina Mcdonald	4-(023)808-6624
Julie Knight	3-(454)573-9537
Rose Gilbert	6-(269)488-4895
Margaret Lane	7-(299)765-8355
Ruth Carter	3-(778)636-9369
Ruby Brown	0-(795)315-2499
Rachel Welch	1-(744)241-9975
Angela Burke	9-(417)310-9526
Rebecca Nguyen	0-(430)844-8861
Kelly Hayes	0-(144)117-4712
Dorothy Alvarez	2-(514)894-3233
Tammy Holmes	7-(780)375-4173
Amanda Taylor	3-(937)781-2454
Janet Taylor	1-(505)489-1195
Ashley Jackson	0-(847)599-5930
Michelle Frazier	6-(924)826-7993
Betty Reed	4-(440)460-6395
Judy Stone	2-(727)717-4032
Joan Bell	0-(960)708-3064
Tina Perry	1-(420)594-3274
Patricia Smith	7-(810)974-1375
Christina Webb	1-(738)564-2061
Judith Simpson	1-(987)777-2629
Cheryl Ford	0-(473)965-6189
Martha Sullivan	2-(128)489-6562
Elizabeth Thomas	4-(858)514-8698
Anne Howard	6-(646)926-3502
Melissa Fields	1-(939)027-2658
Amanda Carter	0-(728)736-9420
Alice Reid	8-(566)992-1019
Emily Cooper	2-(632)899-2904
Mary Robertson	1-(444)998-0182
Amanda Hart	0-(384)445-2941
Helen Gutierrez	0-(906)361-1170
Heather Walker	6-(703)251-5461
Irene Reynolds	1-(763)782-9134
Sandra Moore	2-(020)590-8044
Julia Nelson	5-(116)105-6192
Judy Lawson	9-(518)316-3744
Linda Garza	7-(423)685-1578
Phyllis Hudson	6-(710)851-4556
Carol Phillips	5-(613)747-0520
Mary Ross	8-(599)881-3866
Anne Grant	3-(775)654-7742
Ruby Jenkins	6-(367)974-1624
Ann Rose	6-(302)950-7211
Martha Rice	0-(119)665-2821
Ruby Mitchell	3-(476)982-5759
Kelly Nichols	3-(354)361-2439
Angela Frazier	2-(330)798-8316
Diane Davis	1-(566)314-9761
Diane Bryant	7-(443)140-6653
Deborah Nguyen	3-(486)607-2335
Lois Morrison	7-(763)867-2177
Robin Henry	1-(089)280-0018
Irene Day	4-(138)046-8355
Norma Reed	8-(977)673-3505
Jane Walker	4-(060)699-9864
Kimberly Owens	5-(768)234-9554
Carol Gray	3-(003)543-3325
Carol Cooper	3-(658)893-5539
Rebecca Patterson	3-(565)516-8498
Deborah Gomez	8-(499)026-7656
Jacqueline Jenkins	6-(233)723-9897
Jean Morgan	6-(122)065-8728
Martha Wright	5-(059)624-4757
Diana Arnold	8-(212)246-9509
Anna Olson	1-(510)294-5191
Sara Bryant	3-(702)343-1477
Rose Rice	4-(262)546-6913
Pamela Campbell	5-(774)185-1029
Susan Nichols	2-(224)429-0258
Louise Graham	4-(216)873-4360
Margaret Meyer	5-(865)818-7472
Joan Miller	5-(855)505-7123
Kathy Meyer	9-(320)913-4293
Helen Lawson	7-(118)406-3080
Lori Hansen	4-(196)996-0154
Gloria Scott	3-(706)729-0540
Christine Dean	0-(565)597-9062
Maria Bailey	0-(419)961-9342
Helen Hansen	9-(286)891-0350
Carol Rice	6-(602)417-2757
Kimberly Gonzales	4-(996)119-7500
Jean Lopez	0-(873)845-7058
Shirley Gomez	9-(787)589-3395
Lois Scott	8-(023)507-0538
Julie Cole	1-(624)094-1789
Margaret Carroll	5-(108)929-5163
Nancy Arnold	8-(630)659-6724
Phyllis Mills	7-(640)797-6797
Barbara Cruz	9-(342)900-2666
Lori Butler	5-(348)390-0648
Evelyn Butler	4-(441)398-8086
Irene Carroll	9-(305)922-0567
Melissa Ross	1-(082)533-9418
Carol Dunn	0-(409)226-5080
Bonnie Romero	3-(627)392-5215
Nancy Chavez	3-(762)517-0753
Anna Fox	9-(615)436-2345
Anna Ortiz	1-(213)507-3131
Alice Fuller	7-(464)322-0665
Alice Black	5-(100)720-0366
Wanda Little	3-(424)108-2000
Carol Collins	8-(209)783-4712
Amanda Patterson	7-(246)082-9080
Sarah Harvey	3-(968)119-7886
Irene Arnold	3-(527)146-6003
Doris King	3-(051)605-0502
Ruby Phillips	7-(640)097-0299
Jessica Dunn	8-(372)719-6348
Amy Bryant	8-(295)651-8756
Melissa Fuller	0-(269)817-5018
Judy Chapman	6-(772)913-3127
Andrea Schmidt	4-(735)327-9035
Elizabeth Phillips	9-(469)839-9496
Kathleen Riley	7-(908)945-1240
Katherine Lynch	8-(634)393-7624
Emily Simmons	1-(418)712-6384
Ruth Jacobs	2-(208)216-4843
Lori Chapman	9-(274)092-3137
Barbara Olson	7-(815)952-2443
Sarah Foster	5-(327)640-3804
Janice Hall	0-(918)990-7458
Pamela Henderson	3-(080)285-8915
Gloria Knight	2-(951)939-6308
Kathleen Kelly	0-(697)679-7575
Doris Armstrong	0-(073)228-9099
Anna Marshall	0-(822)857-6332
Frances Stephens	2-(658)007-0207
Patricia Johnson	3-(222)859-3599
Carol Hanson	5-(910)759-7542
Margaret Andrews	7-(194)841-3763
Doris Pierce	6-(650)636-9942
Diana Thomas	9-(721)385-8657
Rachel Kelley	7-(886)913-6963
Annie Kelly	9-(258)597-6734
Ann Richards	7-(556)908-5823
Jessica Cunningham	0-(719)115-6780
Emily Stewart	6-(846)256-1740
Gloria Rogers	5-(905)432-3708
Beverly Morales	5-(564)437-5717
Judy Larson	6-(104)218-3775
Christine Wright	9-(882)304-5022
Jennifer Henderson	2-(464)756-0989
Susan Hudson	6-(225)960-3704
Amanda Taylor	4-(663)975-0769
Rebecca Elliott	9-(348)678-7517
Amy Simpson	3-(038)130-1439
Ann Freeman	5-(241)746-2844
Christina Tucker	7-(818)243-2781
Angela White	7-(862)410-1177
Shirley Perkins	0-(656)700-8778
Irene Bowman	9-(601)365-9240
Rebecca Fuller	4-(935)647-7628
Stephanie Harper	1-(300)209-7553
Michelle Mason	5-(286)734-7390
Patricia Sanchez	7-(357)940-1064
Mildred Turner	0-(586)759-7174
Carol Lawson	0-(355)357-8775
Rebecca Howell	8-(595)082-4395
Wanda Flores	2-(181)539-8466
Theresa Vasquez	6-(980)441-6794
Stephanie Ray	7-(582)330-9159
Tammy Gibson	5-(683)491-9383
Jennifer Brown	1-(164)457-1960
Jessica Torres	5-(984)637-7502
Debra George	7-(267)669-8808
Judith Jordan	6-(229)031-0005
Catherine Moore	8-(594)482-8456
Laura Vasquez	1-(314)079-0787
Karen Brown	5-(146)241-8376
Julia Fuller	6-(841)491-7333
Theresa Lawson	5-(101)524-3610
Barbara Gordon	0-(222)489-9827
Wanda Barnes	4-(094)221-9500
Janet Phillips	4-(168)726-2614
Catherine Willis	9-(446)558-0222
Joan Greene	8-(484)643-1762
Rose Morris	0-(670)797-0094
Helen Harris	3-(922)559-9464
Laura Fernandez	2-(245)471-2450
Marie Hill	8-(020)300-6521
Teresa Graham	1-(738)594-8577
Diane Williamson	4-(147)734-3525
Laura Dean	4-(659)111-5216
Janice Fields	2-(989)615-2850
Ann King	6-(887)587-7876
Ruby Smith	6-(644)659-9126
Ruth Scott	1-(809)792-0665
Deborah Long	5-(463)057-3221
Linda Hughes	8-(737)713-7188
Nancy Phillips	2-(037)716-9294
Catherine Diaz	1-(984)144-6020
Anna Moore	2-(051)924-7705
Amy Burke	6-(499)202-2832
Evelyn Perry	3-(185)992-6991
Rachel Hunt	5-(321)069-6945
Anna Morrison	4-(092)935-0921
Shirley Turner	1-(967)545-8909
Julia Shaw	1-(048)789-6089
Laura Gardner	0-(164)021-0240
Cynthia Williamson	7-(295)078-8981
Robin Green	8-(391)664-9889
Jane Berry	5-(303)943-1915
Dorothy Palmer	7-(939)271-6164
Jane Bryant	3-(477)068-9988
Kimberly Webb	3-(091)427-7023
Robin Campbell	5-(707)424-9510
Brenda Ruiz	1-(419)925-7419
Amanda Edwards	1-(753)545-2518
Amy Alvarez	0-(013)652-0282
Sharon Stanley	6-(763)542-0406
Ruby Mendoza	0-(329)362-4113
Bonnie Bowman	0-(173)895-9141
Christina Howard	3-(226)950-5647
Brenda Lewis	9-(247)698-6198
Maria Gutierrez	1-(780)851-2808
Melissa Ward	9-(208)050-4761
Anne Butler	2-(857)482-4451
Donna Hernandez	9-(386)309-0372
Lori Chavez	3-(908)166-8222
Pamela Hernandez	3-(766)551-5162
Sandra Bowman	3-(298)087-2391
Carolyn Armstrong	8-(394)032-1534
Marie Young	8-(591)056-1838
Nicole Rogers	2-(445)551-8389
Wanda Watkins	4-(023)069-8364
Rebecca Long	5-(566)551-2358
Joan Hanson	8-(115)355-8136
Louise Owens	2-(263)769-5910
Theresa Lee	8-(151)761-1979
Norma Coleman	8-(592)086-4292
Gloria Robertson	2-(083)416-9486
Janet Sullivan	8-(429)874-8095
Kimberly Fowler	8-(055)366-9907
Evelyn Bennett	9-(256)697-0819
Patricia Parker	7-(205)925-2078
Diane Washington	4-(807)017-5360
Debra Alexander	9-(331)585-8320
Kathy Jones	4-(337)360-2610
Deborah Gray	8-(536)895-6204
Irene Cox	8-(891)136-7291
Susan Hanson	0-(739)525-3606
Heather Sims	8-(217)367-1702
Judy Harris	1-(837)791-1825
Ashley Garcia	4-(032)243-8436
Joan Bailey	5-(980)549-3846
Laura Lawson	0-(212)173-3624
Diana Gardner	2-(570)708-7159
Annie Austin	7-(706)178-6196
Diana Evans	3-(343)804-6483
Mary Stone	8-(291)218-0963
Lori Hall	7-(021)531-4713
Sarah Owens	5-(132)374-8526
Emily Fowler	6-(444)648-2222
Linda Bradley	2-(196)971-9703
Mary Ramos	3-(251)514-1774
Helen Johnson	0-(648)229-1591
Anne Hill	9-(931)246-9363
Jacqueline Ross	6-(953)272-8854
Elizabeth Clark	8-(905)825-4075
Patricia Rice	6-(598)224-6279
Robin Allen	6-(498)517-5641
Beverly Phillips	5-(538)021-9210
Jessica Hall	9-(742)926-0887
Shirley Gray	0-(897)971-9280
Christine Larson	1-(037)748-6722
Deborah Rice	3-(930)956-9700
Cheryl Sanders	9-(461)987-6100
Mildred Hamilton	6-(994)250-5080
Marie Stevens	1-(859)334-6515
Frances Price	0-(211)952-1399
Paula Rodriguez	9-(856)312-4446
Shirley Gutierrez	1-(399)151-9025
Linda Mendoza	4-(174)842-9789
Jane Gonzales	5-(657)301-8081
Brenda Fernandez	1-(632)284-3961
Margaret Reid	7-(403)278-9153
Cheryl Mcdonald	2-(660)715-6861
Marie Baker	7-(155)956-2751
Ashley Edwards	8-(876)904-0141
Mary Barnes	4-(294)254-2625
Diana Price	9-(451)910-7181
Irene Collins	2-(263)133-7933
Norma Carroll	9-(858)389-1625
Dorothy Cruz	4-(280)976-2591
Christina Fuller	4-(812)338-6453
Maria Thompson	6-(816)191-2205
Jean Evans	5-(779)978-3526
Karen Reid	3-(331)448-4987
Emily Frazier	4-(258)050-8727
Lillian Wheeler	7-(233)368-3634
Jean Ortiz	9-(911)329-5604
Karen Payne	4-(558)647-0681
Wanda Murray	0-(879)679-7124
Julie Snyder	1-(738)507-5226
Emily Adams	6-(290)625-3502
Debra Arnold	6-(436)415-4812
Brenda Morrison	1-(500)118-5044
Judith Coleman	7-(541)881-9150
Virginia Perez	5-(112)083-7907
Denise Hawkins	8-(921)813-4664
Rose George	5-(006)099-4283
Deborah Graham	2-(160)657-1475
Ruby Spencer	7-(418)985-7792
Ashley Morris	1-(603)712-7766
Michelle Washington	8-(287)630-4725
Gloria Barnes	8-(829)098-2563
Anne Thomas	7-(199)875-5593
Rebecca Morgan	2-(667)538-2971
Kathleen Shaw	6-(148)796-5871
Diane Lee	3-(759)237-0857
Judith Dixon	1-(019)243-9961
Michelle Parker	0-(467)761-9700
Denise Stanley	3-(970)876-5690
Debra Fuller	2-(908)103-5320
Catherine Chavez	5-(046)098-8631
Lori Hill	6-(263)535-1229
Theresa Powell	0-(421)148-1482
Sarah Arnold	6-(625)826-9813
Christine Brown	7-(758)686-0358
Pamela Cruz	0-(557)245-5174
Julie Bailey	5-(745)635-6689
Theresa Webb	9-(034)386-5781
Cynthia Riley	9-(900)182-3610
Lori Cooper	9-(053)240-9728
Debra Alexander	4-(386)495-6714
Janice Romero	7-(723)761-9493
Norma Wilson	9-(346)361-9534
Angela Carpenter	8-(575)199-5699
Carol Morgan	0-(825)306-4443
Bonnie Stone	9-(304)369-5140
Rachel Garcia	5-(431)808-2591
Denise King	6-(470)738-5269
Christine Jackson	7-(869)338-7153
Virginia Lee	5-(926)796-8515
Marilyn James	3-(958)087-0010
Lillian Kennedy	7-(068)501-4070
Theresa Fisher	0-(957)624-0900
Linda Carter	6-(395)328-7404
Debra Stevens	4-(612)926-6035
Brenda Johnson	5-(186)673-5773
Doris Ross	1-(886)079-0271
Rose Hawkins	8-(873)341-0340
Frances Sims	9-(888)237-1683
Frances Jacobs	9-(063)053-6378
Tammy Bell	5-(682)733-8573
Marilyn Nguyen	6-(462)894-6951
Kimberly Reed	0-(959)181-5190
Andrea Burton	1-(898)881-7025
Alice King	5-(035)294-1774
Ann Baker	3-(484)073-6811
Kathleen Johnson	4-(761)082-8627
Kimberly Reynolds	9-(973)378-5735
Paula Andrews	3-(770)525-7733
Sara Barnes	6-(320)200-3257
Brenda Gibson	5-(451)533-4650
Amy Gordon	5-(429)220-9979
Lisa Cole	9-(440)780-4973
Ruth Tucker	9-(774)138-0736
Louise Gardner	8-(120)382-1938
Judy Mcdonald	0-(270)218-0691
Dorothy Wells	8-(916)343-8895
Jessica Garrett	6-(666)607-2806
Rachel Bowman	3-(275)263-3132
Theresa Wilson	6-(559)159-3091
Doris Stephens	1-(474)581-4308
Pamela Morrison	6-(893)360-7604
Rachel Burton	7-(553)619-5796
Mildred Price	5-(769)006-4284
Gloria Watson	5-(361)963-0168
Marie Thomas	4-(700)988-8799
Denise Romero	2-(830)393-8124
Rose Dean	7-(906)444-4637
Judy Woods	3-(851)688-0261
Helen Evans	0-(969)135-5039
Melissa Mitchell	6-(409)148-5423
Bonnie Barnes	8-(331)392-7611
Carol Ray	3-(857)013-0956
Jennifer Ryan	6-(510)524-8615
Judith Tucker	3-(145)155-0884
Jean Carroll	5-(525)239-2369
Cheryl Hernandez	2-(447)218-4112
Theresa Gomez	3-(989)828-0993
Stephanie Warren	6-(791)481-9402
Lillian Simpson	5-(890)742-2698
Anna Parker	9-(626)851-5009
Deborah White	1-(848)210-6079
Cheryl Ramos	6-(499)134-7943
Heather Bishop	0-(604)868-2965
Jean Washington	6-(473)000-3010
Rebecca Long	7-(003)618-2350
Marie Shaw	5-(130)871-3073
Emily Simmons	1-(922)653-3079
Carolyn Harper	0-(077)766-9909
Elizabeth Webb	6-(915)667-6145
Julia Howell	6-(901)265-6541
Amy Rice	2-(348)763-1891
Catherine Alexander	8-(525)967-4335
Frances Warren	7-(133)122-1685
Judith Coleman	0-(541)768-2455
Julie Cunningham	7-(804)236-4400
Mildred Webb	4-(863)131-2704
Doris Reyes	7-(948)810-3497
Michelle Olson	7-(880)066-3969
Judith Fernandez	4-(226)502-2063
Katherine Butler	0-(186)248-7760
Jean Carpenter	1-(904)761-2178
Gloria Mason	9-(343)640-7923
Sandra Woods	1-(317)343-4971
Angela Mitchell	9-(136)694-3915
Tina Graham	2-(404)005-2839
Catherine Chavez	3-(966)223-6712
Jennifer Rogers	6-(945)000-2179
Sharon Hunter	4-(480)449-8494
Beverly Meyer	5-(582)889-4957
Anne Washington	5-(372)576-1252
Joyce Gomez	3-(395)326-3967
Mary Lawson	4-(232)332-2345
Susan Pierce	4-(594)319-1295
Irene King	2-(962)927-6093
Doris Bishop	4-(333)022-6875
Helen Powell	5-(009)148-2069
Brenda Stone	6-(673)243-4317
Janice Perry	1-(158)621-0814
Ashley Garrett	8-(330)926-3070
Betty Coleman	6-(657)767-2330
Jacqueline Barnes	9-(853)042-8212
Rachel Bennett	8-(896)478-0577
Bonnie Wells	6-(772)545-8292
Kathryn Price	7-(687)791-1451
Shirley Smith	6-(283)261-0456
Barbara Elliott	8-(693)885-2707
Christine Lane	3-(152)920-4065
Frances Owens	8-(944)075-4439
Judy Olson	2-(461)337-9819
Ann Perry	3-(652)743-9879
Betty Black	7-(760)748-8247
Donna Washington	0-(225)640-7145
Donna Harrison	6-(504)553-1794
Helen Weaver	7-(127)492-7126
Rose Mills	6-(478)693-0740
Tina Ford	5-(343)230-2030
Katherine Foster	2-(234)769-7086
Kimberly Green	5-(361)947-4382
Rebecca Oliver	2-(986)472-3749
Christina Smith	4-(538)117-1431
Stephanie Phillips	3-(063)714-6666
Marilyn Wheeler	5-(853)876-1309
Sara Burke	5-(806)950-8919
Debra Turner	6-(152)571-9148
Kathy Wood	0-(862)381-3951
Rose Frazier	5-(656)574-2879
Donna Payne	7-(056)722-8206
Judy Burton	0-(643)186-4270
Tammy Olson	5-(761)538-0037
Judy Howell	8-(277)872-9384
Cynthia Shaw	5-(868)314-6530
Sandra Elliott	3-(937)522-7413
Sandra Stewart	8-(604)894-5912
Lisa George	1-(113)809-8283
Christina Stevens	5-(985)511-9575
Paula Carr	2-(922)866-1893
Judith Bailey	2-(295)052-2866
Kathryn Richardson	6-(788)372-6717
Maria Carter	3-(662)376-6451
Jane Jordan	5-(315)079-0418
Judy Warren	2-(401)579-1050
Evelyn Griffin	6-(676)062-4272
Denise Gibson	3-(228)993-9951
Judy Anderson	5-(784)981-5155
Denise Harris	7-(235)945-6441
Tina Bowman	3-(308)935-8940
Dorothy Coleman	8-(440)475-8731
Elizabeth Chapman	5-(880)561-9691
Phyllis Rodriguez	9-(817)455-0564
Brenda Howard	6-(586)294-9140
Carolyn Mills	7-(503)294-4587
Karen Hall	2-(476)421-4392
Amanda Martinez	5-(726)287-0986
Brenda Lewis	4-(052)539-4085
Cynthia Taylor	4-(499)942-0051
Cynthia Bowman	0-(940)967-9814
Ruby Cox	0-(089)433-2120
Janice Collins	5-(160)643-5824
Denise Murphy	4-(930)847-7697
Nancy Kim	3-(103)166-2656
Carol Black	6-(264)008-8295
Margaret Johnston	6-(077)650-4917
Christina Ford	5-(178)603-5615
Janice Kelley	9-(384)709-1606
Lori Williams	1-(792)909-4798
Brenda Morris	6-(830)252-6185
Brenda Armstrong	4-(680)099-0110
Theresa Morrison	7-(947)673-8756
Margaret Scott	6-(843)007-6372
Kimberly Olson	1-(022)593-4364
Kimberly Carroll	0-(469)832-9806
Debra Franklin	5-(013)521-9822
Pamela Ward	6-(204)132-4995
Tammy Kim	3-(279)605-2308
Evelyn Daniels	1-(453)934-5054
Louise Turner	4-(646)404-9830
Rachel Gonzales	4-(027)767-4356
Irene Simmons	1-(168)178-7304
Kathleen Russell	5-(606)875-4309
Frances Nelson	1-(471)662-3825
Wanda Mills	0-(134)881-6124
Lois Sims	4-(835)979-6785
Kimberly Ford	2-(035)353-9180
Catherine Frazier	9-(822)209-5043
Jessica Andrews	0-(105)498-4370
Virginia Rogers	9-(389)949-4190
Laura Rivera	4-(857)096-0874
Christina Morgan	6-(822)820-4115
Kelly Parker	1-(684)049-6269
Theresa Flores	1-(616)498-8244
Donna Richards	8-(737)027-0596
Deborah Ward	6-(090)832-4922
Nancy Elliott	8-(748)289-0029
Irene Castillo	9-(064)438-2095
Ruth Baker	5-(971)167-7603
Jessica Jackson	9-(878)892-6036
Ruth Lewis	4-(130)072-1332
Bonnie Alexander	7-(206)301-2826
Evelyn Harper	9-(090)650-2703
Barbara Woods	4-(233)611-8664
Rachel Perry	8-(672)695-4097
Helen Flores	4-(805)905-8232
Donna Henry	6-(345)102-5543
Linda Spencer	4-(074)382-8595
Shirley Snyder	0-(312)368-5968
Patricia Parker	7-(356)191-7291
Lillian Dean	1-(426)809-4745
Christina Martin	7-(128)815-3371
Margaret Dixon	4-(759)623-3706
Andrea Armstrong	8-(972)668-5047
Catherine Murray	8-(601)481-1808
Elizabeth Holmes	2-(720)058-0086
Debra Rodriguez	7-(544)172-2980
Catherine Cunningham	5-(253)100-0849
Anne Kim	3-(214)504-0006
Katherine Wagner	8-(004)562-0630
Carol Long	7-(439)152-0797
Kathy Ferguson	9-(081)423-0507
Emily Jordan	5-(222)826-0589
Jacqueline Kim	7-(833)146-4357
Lois Nelson	7-(786)128-3442
Marilyn Jordan	8-(405)773-9326
Lori Myers	9-(283)742-4808
Paula Perry	0-(974)369-7298
Nancy Burton	2-(097)569-4462
Shirley Owens	4-(234)130-5683
Amy Reynolds	6-(771)308-1064
Angela Greene	8-(948)493-8751
Katherine Powell	0-(463)988-1658
Annie Sanders	3-(535)562-3353
Phyllis Baker	4-(381)957-1686
Robin Wood	9-(913)907-1939
Sharon Wilson	8-(772)890-9323
Karen Lynch	0-(568)220-5529
Laura Richardson	2-(850)050-6938
Margaret Hansen	8-(544)218-2501
Carol Butler	6-(150)183-3850
Theresa Rivera	6-(113)186-7636
Diane Robinson	0-(807)461-6784
Maria Murray	4-(813)095-6558
Amy Cruz	5-(195)905-4252
Betty Lee	0-(576)685-5405
Linda Carr	9-(031)047-3272
Mildred Jacobs	2-(526)255-1339
Mildred Mason	2-(613)716-0463
