Alice Walker	5-(786)140-3346
Jean Robinson	4-(958)217-7591
Rose Stone	1-(935)591-3568
Denise Mccoy	6-(622)320-5261
Kathryn Gonzalez	0-(362)187-1710
Teresa Simpson	6-(741)235-1380
Beverly Vasquez	8-(122)830-0464
Joan Spencer	1-(728)791-8512
Cheryl Wilson	8-(003)690-0909
Jean Bennett	0-(612)003-1095
Wanda Hunter	3-(644)143-3756
Dorothy Kennedy	7-(558)661-0562
Debra Carroll	0-(884)166-8050
Kathy Dunn	9-(827)563-9821
Janet Ortiz	8-(960)982-2633
Phyllis Green	8-(217)716-4603
Cheryl Simpson	2-(596)097-4319
Lois Gray	1-(511)960-9435
Catherine Palmer	6-(634)073-9301
Phyllis Clark	8-(442)848-5463
Angela Burns	9-(791)238-2111
Evelyn Weaver	0-(887)707-4210
Beverly King	9-(096)925-3148
Alice Griffin	9-(320)660-8772
Alice Perkins	2-(679)183-1653
Teresa Simmons	0-(284)293-3008
Susan Brown	3-(928)074-5043
Theresa Morgan	5-(549)737-1988
Virginia Russell	8-(213)743-3400
Carolyn Peters	4-(121)735-3265
Joyce Carr	3-(447)453-2450
Julie Ramos	6-(171)684-8465
Lois Hanson	8-(448)704-2901
Judy Foster	2-(850)791-6165
Katherine Woods	9-(511)814-7797
Marie Armstrong	7-(364)754-7377
Ruth Lynch	0-(645)615-1586
Jennifer Parker	5-(835)522-7895
Mildred Richards	5-(042)958-2594
Donna Jones	4-(709)889-4613
Janet Mccoy	7-(734)647-0506
Linda Jenkins	0-(493)340-0842
Sandra Peters	2-(775)357-5100
Andrea Hart	5-(407)916-2770
Doris Wood	4-(108)257-8108
Martha Lynch	5-(290)008-8843
Diana Snyder	7-(021)423-0865
Sharon Williamson	9-(876)989-3460
Jean Clark	6-(371)054-6292
Paula Turner	2-(311)823-4570
Wanda Oliver	7-(604)934-8195
Rachel Ross	9-(397)411-8369
Rachel Hernandez	7-(310)597-7072
Amy Medina	4-(119)017-8299
Carol Rogers	8-(953)778-0045
Diana Spencer	3-(670)478-9204
Christine Gardner	5-(133)978-7122
Ruby Palmer	6-(598)561-1142
Melissa Rivera	4-(536)078-9930
Brenda Riley	3-(668)604-3912
Emily Robinson	4-(641)274-4372
Helen Reid	0-(733)935-4033
Jane Henry	7-(264)625-5417
Ashley Hamilton	3-(621)179-3233
Cheryl Gibson	1-(896)839-5790
Lois Nguyen	8-(880)439-5612
Shirley Stanley	5-(622)005-7909
Robin Moore	1-(958)155-9265
Teresa Baker	7-(867)891-4618
Janice Webb	8-(419)907-2917
Jennifer Chapman	8-(849)989-4707
Denise Hayes	5-(426)330-6902
Kathy Bradley	6-(650)063-4353
Michelle Cooper	9-(564)032-2321
Gloria Wagner	8-(544)280-3498
Barbara Cunningham	4-(254)837-5974
Tammy Jenkins	4-(459)212-7830
Martha Parker	7-(589)791-7542
Theresa Green	1-(273)144-9379
Carolyn Armstrong	2-(169)272-3230
Wanda Murray	3-(974)601-4072
Patricia Knight	2-(908)782-5772
Ruby Simpson	2-(259)082-3677
Irene Henry	1-(591)048-8269
Lori Ruiz	1-(486)166-0139
Katherine Arnold	6-(792)637-0702
Heather Howard	2-(677)442-3274
Donna Kelly	3-(820)657-1918
Cynthia Young	1-(141)044-0886
Julia Hicks	4-(375)971-6480
Frances Chapman	8-(095)002-7810
Deborah Peterson	3-(289)336-0039
Catherine Fowler	8-(850)503-9591
Theresa Young	3-(995)245-0209
Dorothy Perkins	9-(616)197-8805
Paula Harris	2-(677)155-2885
Sandra Kim	1-(455)866-2483
Helen Lawson	0-(135)443-2334
Tammy Daniels	2-(722)552-4014
Melissa Johnston	6-(054)057-0367
Susan Thomas	8-(418)319-6984
Melissa Gray	2-(076)683-6401
Jacqueline Watson	0-(707)596-2343
Christina Ellis	0-(805)035-0940
Deborah Hunt	6-(392)655-7565
Lisa Hansen	3-(180)749-7789
Nicole Kelly	2-(685)412-0780
Evelyn Moreno	3-(122)339-6268
Barbara Fuller	9-(974)175-2594
Maria Vasquez	4-(067)619-1161
Betty Oliver	9-(957)695-1771
Jennifer Phillips	4-(492)369-8624
Sharon Gonzalez	6-(093)227-1129
Kathleen Henry	9-(483)430-4646
Evelyn Lane	9-(355)032-6856
Frances Moreno	0-(681)578-5150
Carolyn Porter	9-(242)790-3997
Denise Pierce	7-(027)372-0923
Teresa Washington	3-(843)154-9704
Bonnie Wood	2-(360)295-7086
Tina Robinson	3-(319)720-4826
Christine Porter	6-(965)449-3680
Rebecca Myers	1-(691)092-6846
Martha Vasquez	0-(292)899-8734
Ann Edwards	3-(720)794-4238
Jessica Edwards	7-(921)795-6779
Elizabeth Harvey	5-(958)948-6298
Karen Peters	2-(831)129-1382
Tammy Marshall	3-(042)312-0483
Rose Simmons	0-(039)090-0756
Susan Wallace	5-(379)105-1768
Marilyn Stephens	3-(676)507-2121
Barbara Gibson	4-(025)192-7060
Anna Carpenter	4-(199)249-8849
Marie Mitchell	8-(475)114-7622
Marie Nguyen	0-(413)946-1949
Annie Gonzalez	1-(720)381-9218
Donna Nelson	2-(318)930-4996
Julia Fowler	3-(505)805-7049
Ruth Bailey	9-(105)195-5271
Ann Lawson	2-(852)966-3360
Tammy Hernandez	9-(732)003-6121
Katherine Larson	1-(991)245-0075
Nicole George	0-(708)967-2103
Sandra Warren	9-(250)479-6552
Elizabeth Castillo	1-(809)434-6382
Margaret Ray	7-(222)684-8605
Mary Marshall	5-(770)859-1676
Kelly Williamson	8-(025)308-2990
Frances Taylor	2-(856)024-4037
Sarah Wells	6-(775)215-5415
Cheryl Moore	4-(113)913-5161
Frances Lane	8-(854)475-4460
Gloria Cooper	7-(869)873-9046
Kathy Rivera	6-(426)109-8273
Ann Welch	3-(420)109-7348
Louise Taylor	9-(329)860-2470
Cheryl Brown	9-(638)129-6854
Patricia Clark	0-(732)710-6570
Laura Edwards	6-(224)452-6744
Nancy Morris	3-(649)635-6432
Stephanie Welch	1-(926)199-4766
Doris Long	7-(102)308-7449
Heather Hawkins	8-(600)348-6159
Christine Warren	2-(500)532-7030
Julia Wells	3-(267)096-8930
Nicole Reed	2-(028)119-6918
Ashley Ruiz	0-(576)508-6988
Andrea Richards	2-(866)422-5803
Maria Moore	9-(966)289-7769
Pamela Mitchell	9-(566)552-0761
Stephanie Coleman	7-(738)082-1161
Robin Johnson	5-(299)354-4703
Kathryn Simmons	4-(066)330-1566
Rose Simmons	6-(885)160-3268
Denise Cox	5-(826)980-0356
Michelle Dean	6-(180)682-6333
Jean Knight	8-(648)641-8482
Donna Howell	8-(254)410-0768
Betty Roberts	4-(786)599-4004
Elizabeth Henderson	2-(719)134-3076
Wanda Cunningham	1-(615)044-0014
Lori Henderson	1-(159)156-9201
Ann Stone	5-(525)699-9008
Dorothy Collins	6-(544)955-9858
Martha Anderson	2-(633)804-0236
Jacqueline Castillo	1-(184)084-3313
Dorothy Marshall	8-(486)021-9245
Debra Lawson	9-(437)903-4150
Frances Willis	5-(133)682-8483
Jessica Reyes	5-(152)459-8483
Ashley Johnson	1-(537)624-4751
Diane Bell	9-(270)333-7562
Ashley Elliott	1-(032)285-0261
Annie Ramos	2-(706)823-7681
Linda Brown	7-(156)424-5453
Linda Hall	4-(552)902-2484
Tina Campbell	9-(577)405-2735
Kimberly Martin	0-(579)423-7155
Barbara Hudson	7-(039)328-3241
Teresa Carroll	0-(664)970-8401
Elizabeth Spencer	8-(783)585-1014
Janet Holmes	5-(713)310-7169
Lisa Carr	6-(927)338-6328
Mildred Jacobs	5-(961)271-5537
Nicole Flores	2-(922)043-6603
Carol Lawson	4-(968)501-0153
Tina Wells	2-(329)538-4557
Janet Nelson	0-(535)386-9518
Sharon Taylor	2-(426)698-9352
Tina Larson	3-(125)435-8822
Debra Ross	1-(075)273-1225
Pamela Mendoza	0-(458)864-8132
Susan Daniels	3-(791)337-6368
Marie Montgomery	0-(305)282-1556
Jane Little	5-(701)423-5530
Wanda Mccoy	5-(815)643-1901
Sharon Hanson	6-(422)528-8053
Tina Garrett	1-(570)139-0523
Helen Fernandez	0-(338)076-3689
Frances Graham	3-(713)439-8423
Judith West	5-(389)197-3154
Catherine Mcdonald	6-(550)165-2731
Tammy Jordan	0-(773)339-4240
Jacqueline White	9-(210)937-1001
Ruth Fernandez	1-(837)149-8300
Ashley Jones	4-(148)971-2602
Katherine Henderson	2-(326)168-0601
Kimberly Roberts	3-(516)488-9723
Carol Ford	4-(282)618-0361
Lori Mills	6-(292)353-7729
Margaret Daniels	3-(746)432-7324
Norma Garcia	8-(060)060-2466
Judith Hunt	9-(032)228-0327
Sara Banks	6-(049)284-2865
Norma Jacobs	0-(716)620-4242
Melissa James	9-(449)344-2932
Helen Dixon	4-(148)078-5594
Phyllis Moore	2-(584)283-5935
Kathryn Scott	1-(641)729-6211
Andrea Lawson	8-(734)643-0408
Frances Weaver	1-(679)229-4859
Ashley Payne	6-(950)348-8790
Carolyn Ramirez	7-(699)711-0573
Joan Hall	7-(838)342-4751
Frances Rice	7-(036)742-2127
Katherine Elliott	2-(369)584-4462
Norma Kim	4-(068)807-7146
Deborah Chapman	4-(601)915-8117
Nancy Wilson	4-(547)549-3718
Patricia Vasquez	1-(036)314-9047
Wanda Daniels	6-(055)177-1487
Nancy Hayes	3-(510)120-2538
Judith Nichols	4-(925)215-3020
Alice Sims	0-(408)243-6100
Kathryn Rice	8-(554)973-0367
Ruby Flores	7-(769)192-2051
Louise Morrison	4-(845)861-0712
Heather Hernandez	0-(235)516-4267
Sara Vasquez	7-(304)032-4137
Anna Carpenter	9-(185)263-3320
Denise Adams	7-(103)177-0740
Linda Hughes	1-(521)837-1525
Jessica Russell	6-(222)720-5414
Phyllis Hart	6-(656)506-6669
Kathy Cox	1-(513)577-2593
Catherine Webb	3-(403)148-7672
Amanda Collins	7-(381)923-9366
Gloria Watkins	9-(086)845-3627
Julia Murphy	6-(946)403-7701
Teresa Scott	8-(440)901-7499
Mildred Watson	7-(877)601-8191
Marilyn Ramos	9-(761)224-7848
Anna Green	2-(791)518-5075
Kimberly Diaz	1-(676)715-6968
Anne Howell	7-(408)413-0367
Melissa Perry	9-(037)709-8432
Frances Garcia	0-(713)729-1758
Judy Harvey	8-(530)943-2323
Melissa Martinez	6-(107)669-9726
Irene Davis	1-(106)219-1435
Heather Robertson	2-(252)381-9013
Dorothy Wallace	7-(026)330-0488
Heather Lawrence	1-(652)718-1170
Paula Young	1-(980)789-6960
Ashley Clark	6-(957)064-5637
Cheryl Wright	2-(324)787-5046
Christine Martin	7-(928)217-4285
Maria Payne	2-(732)421-0747
Nancy Warren	8-(966)333-4130
Jennifer Wagner	2-(289)635-4700
Rose Richardson	9-(442)337-9810
Helen Burns	3-(099)422-0552
Diane Mendoza	9-(458)121-4011
Carolyn Butler	6-(959)534-6947
Linda Wheeler	7-(930)718-3182
Sandra Schmidt	3-(078)876-1014
Melissa Robinson	7-(508)439-7766
Kathy Reynolds	6-(487)341-4653
Lisa Arnold	2-(620)089-0196
Pamela Lynch	6-(019)570-9681
Theresa Jordan	0-(985)105-0867
Anne Bailey	3-(123)850-3480
Jacqueline Gomez	3-(546)079-7085
Lori Burke	6-(701)333-9900
Kelly Sanchez	9-(151)683-1670
Dorothy Sanders	9-(737)671-0804
Annie Martin	4-(191)352-6407
Michelle Chavez	0-(976)873-6041
Judy Myers	0-(311)559-8088
Virginia Cole	4-(366)931-9515
Michelle Fuller	0-(929)629-0652
Alice Riley	0-(822)866-0974
Tina Hawkins	4-(646)047-1049
Irene Bennett	2-(522)773-0912
Ann Berry	9-(487)101-6021
Bonnie Banks	0-(274)570-6321
Nicole Wagner	5-(695)786-3195
Robin Reyes	9-(083)356-4904
Kimberly Hernandez	9-(128)088-8936
Rebecca Greene	5-(882)381-3128
Bonnie Nelson	8-(735)263-2055
Rebecca Gonzales	7-(099)404-0954
Heather White	9-(852)622-6357
Lillian Russell	6-(850)570-5125
Sara Hunt	9-(015)569-1887
Nancy Chapman	3-(316)519-3383
Frances Franklin	5-(301)528-4842
Heather Daniels	3-(330)290-2497
Judy Jones	7-(891)645-4448
Catherine Fox	4-(668)297-4655
Sharon Bailey	1-(229)609-6973
Jennifer Watkins	9-(778)256-0165
Frances Wheeler	6-(649)013-3869
Theresa Richardson	6-(037)395-7523
Jennifer Fisher	1-(728)405-3873
Katherine Hill	6-(099)470-1261
Kathleen Smith	5-(158)817-7086
Joyce Dixon	9-(592)683-6210
Denise King	7-(955)109-5885
Kelly Reyes	0-(590)946-1744
Christina Welch	3-(353)219-9450
Michelle Wright	7-(925)337-8149
Anna Miller	4-(989)980-8552
Karen Stephens	5-(249)842-4009
Lisa Jordan	0-(266)248-3563
Rachel Bennett	4-(923)296-6003
Debra Lewis	0-(245)759-3958
Jessica Schmidt	6-(695)944-7062
Jennifer Lopez	6-(007)983-9134
Diane Chavez	1-(046)339-4297
Sarah Allen	1-(965)858-5276
Nicole Reed	5-(050)849-3581
Sharon Romero	6-(505)816-4361
Gloria Johnson	0-(247)895-0108
Maria Rice	0-(976)321-1773
Paula Harrison	9-(313)165-6034
Sandra Morris	8-(104)687-0127
Annie Mills	9-(169)324-2928
Joan Reyes	0-(114)865-9796
Kimberly Thompson	8-(411)898-0260
Rachel Woods	5-(762)408-0985
Janice Johnston	4-(239)939-9024
Christine Edwards	5-(699)953-2377
Rebecca Hamilton	3-(752)311-0583
Laura Baker	4-(135)115-0734
Norma Fields	6-(060)898-6371
Pamela Wells	3-(221)139-5774
Carolyn Ellis	1-(166)357-9323
Laura Kennedy	4-(787)205-0862
Alice Adams	1-(898)067-8426
Susan Hernandez	9-(684)488-7735
Judy Chavez	8-(950)664-8754
Brenda Hughes	7-(771)078-3456
Ann Evans	5-(594)341-4819
Jane Gilbert	2-(014)795-3400
Debra Wagner	4-(980)960-1870
Lillian Scott	3-(281)558-2823
Jacqueline Sanchez	4-(349)069-9941
Sandra Carroll	4-(919)021-6234
Tammy Richards	2-(855)138-7454
Louise Alexander	7-(920)044-1418
Ruby Burke	9-(334)192-4649
Melissa Elliott	5-(028)150-0532
Beverly Austin	8-(362)965-6001
Virginia Gutierrez	3-(230)453-2689
Deborah Sullivan	1-(787)932-4762
Christina Smith	8-(778)189-6468
Wanda Wheeler	7-(368)802-5997
Virginia White	1-(509)540-2569
Robin Crawford	6-(842)661-0638
Pamela Torres	6-(561)084-3089
Patricia Dunn	4-(973)552-7489
Phyllis Sims	0-(711)909-7956
Angela Lawrence	4-(488)426-5844
Ruby Long	6-(139)201-8377
Annie Rose	9-(115)014-3854
Mildred Bailey	1-(210)310-0793
Maria Bowman	3-(963)671-8511
Virginia Long	9-(715)880-6029
Tina Webb	9-(659)068-0589
Anne Simmons	2-(172)297-0242
Nancy Bennett	4-(680)862-4355
Julia Wright	1-(342)760-3524
Elizabeth Gonzalez	3-(863)286-6460
Carol Reed	5-(239)719-4205
Emily Weaver	9-(393)835-0874
Betty Wright	7-(459)411-6101
Annie Lawson	4-(735)800-8932
Sharon Price	3-(941)124-1155
Diana Ellis	0-(941)654-8427
Lori Stephens	3-(050)627-8152
Judy Pierce	5-(964)916-5477
Kathy Bailey	5-(344)486-3289
Barbara Robertson	4-(455)223-6828
Angela Peters	7-(881)119-3502
Diane Rogers	1-(020)396-2594
Angela Freeman	2-(691)113-1287
Beverly White	8-(785)066-1088
Rose Tucker	9-(781)278-5963
Robin Hansen	0-(785)652-5897
Stephanie Cunningham	1-(374)098-7954
Ruth Patterson	0-(602)704-2571
Kimberly Hamilton	7-(930)560-5932
Julie Hughes	0-(910)768-5058
Phyllis Mason	8-(767)457-9568
Jane Arnold	0-(760)270-7015
Margaret Holmes	8-(134)158-3711
Theresa Martin	4-(316)131-3879
Ann Turner	4-(112)444-0315
Diana Murray	6-(392)841-4433
Cheryl Brooks	7-(465)267-0740
